record_id,language,chapter_id,chapter_title,dialogue,length_chars,length_words,dialogue_id,character,speaker,speaker_confidence,attribution_method,emotion,emotion_score,polarity,subjectivity,affect_method
en_ch03_dlg0002,en,3,CHAPTER III,Ah! Now that's funny...,23,4,D000017,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch03_dlg0003,en,3,CHAPTER III,Then you too come from heaven!,30,6,D000018,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch03_dlg0004,en,3,CHAPTER III,So you're from another planet?,30,5,D000019,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch03_dlg0005,en,3,CHAPTER III,It's true that you cannot come very far from it.,48,10,D000020,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch03_dlg0006,en,3,CHAPTER III,the other planets.,18,3,D000021,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch03_dlg0007,en,3,CHAPTER III,"Where do you come from, my little fellow?",41,8,D000022,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch03_dlg0009,en,3,CHAPTER III,"What is good, with the box you gave me, is that, at night, it will serve him as a house.",88,20,D000023,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.85,multilingual_lexicon_character_context_v2
en_ch03_dlg0010,en,3,CHAPTER III,The proposal seemed to shock the little prince:,47,8,D000024,little_prince,little_prince,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch03_dlg0011,en,3,CHAPTER III,What a funny idea !,19,5,D000025,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch03_dlg0012,en,3,CHAPTER III,It's not a thing. It flies. It's a plane. This is my plane.,59,13,D000026,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2
en_ch03_dlg0013,en,3,CHAPTER III,"Yes, I said modestly.",21,4,D000027,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2
en_ch03_dlg0014,en,3,CHAPTER III,"Of course. And if you are kind, I will also give you a rope to tie it up during the day. And a picket.",102,24,D000028,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2
en_ch03_dlg0015,en,3,CHAPTER III,But where do you want him to go !,33,9,D000029,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch03_dlg0016,en,3,CHAPTER III,Anywhere. Right in front of him...,34,6,D000030,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch03_dlg0017,en,3,CHAPTER III,Straight ahead you cannot go far ...,36,7,D000031,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch04_dlg0000,en,4,CHAPTER IV,the asteroid 325,16,3,D000032,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch04_dlg0001,en,4,CHAPTER IV,What is the sound of his voice?,31,7,D000033,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch04_dlg0002,en,4,CHAPTER IV,How old is he?,14,4,D000034,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch04_dlg0003,en,4,CHAPTER IV,"I saw a beautiful pink brick house, with geraniums on the windows and doves on the roof ...",91,18,D000035,unknown,unknown,0.0,no_match,joy,1.0,1.0,0.75,multilingual_lexicon_character_context_v2
en_ch04_dlg0004,en,4,CHAPTER IV,I have seen a house of one hundred thousand francs. Then they cried:,68,13,D000036,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2
en_ch04_dlg0005,en,4,CHAPTER IV,So if you say to them:,22,6,D000037,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch04_dlg0006,en,4,CHAPTER IV,"they will shrug their shoulders and treat you as a child! But if you tell them,",79,16,D000038,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch04_dlg0007,en,4,CHAPTER IV,"then they will be convinced, and they will leave you alone with their questions. They're like that. We must not blame them. Children should be very lenient towards adults. But, of course, we who understand life, we make fun of the numbers! I would have liked to start this story like fairy tales. I would have liked to say:",323,59,D000039,unknown,unknown,0.0,no_match,sadness,0.5,-1.0,0.55,multilingual_lexicon_character_context_v2
en_ch05_dlg0000,en,5,CHAPTER V,"It is true, is it not, that sheep eat the shrubs?",49,11,D000040,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch05_dlg0001,en,5,CHAPTER V,Ah! I am happy !,16,5,D000041,little_prince,little_prince,0.6,chapter_dominance,joy,1.0,1.0,0.75,multilingual_lexicon_character_context_v2
en_ch05_dlg0002,en,5,CHAPTER V,So they also eat the baobabs?,29,6,D000042,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch05_dlg0003,en,5,CHAPTER V,"I remarked to the little prince that the baobab trees are not shrubs, but trees as large as churches, and that even if they carried with them a whole herd of elephants, this flock would not be able to overcome a single baobab . The idea of the herd of elephants made the little prince laugh:",291,56,D000043,little_prince,little_prince,0.65,keyword_rules,joy,1.0,1.0,0.75,multilingual_lexicon_character_context_v2
en_ch05_dlg0004,en,5,CHAPTER V,But he remarked wisely:,23,4,D000044,little_prince,little_prince,0.7,sandwich_propagation,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch05_dlg0006,en,5,CHAPTER V,"As it was obvious. And it took me a great effort of intelligence to understand to myself this problem. And indeed, on the planet of the little prince, there was, as on all the planets, good grasses and weeds. Therefore good seeds of good weeds and bad seeds of weeds. But the seeds are invisible. They sleep in the secret of the earth until it takes fancy for one of them to wake up. Then she stretched herself, and at first shoved timidly toward the sun a ravishing little harmless little twig. If it is a twig of radish or rose bush, you can let it grow as it wants. But if it is a bad plant, it is necessary to tear the plant immediately, as soon as it is known to recognize it. Now there were terrible seeds on the planet of the little prince ... these were the seeds of baobabs. The soil of the planet was infested. Now a baobab, if one takes it too late, one can never get rid of it any more. It encumbers the whole planet. He perforing her with his roots. And if the planet is too small, and if the baobabs are too numerous, they make it burst.",1051,207,D000045,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.85,multilingual_lexicon_character_context_v2
en_ch05_dlg0007,en,5,CHAPTER V,"the little prince later told me. When you have finished your morning toilet, you have to do the toilet of the planet carefully. It is necessary to regularly bite the baobabs as soon as they are distinguished from the roses to which they resemble very much when they are very young. It's a very boring job, but very easy.",320,59,D000046,little_prince,little_prince,0.65,keyword_rules,curiosity,0.6667,0.0,0.7167,multilingual_lexicon_character_context_v2
en_ch05_dlg0008,en,5,CHAPTER V,"If they travel one day,",23,5,D000047,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch05_dlg0009,en,5,CHAPTER V,"that could serve them. It is sometimes inconvenient to postpone his work. But if it is a question of the baobabs, it is always a catastrophe. I knew a planet, inhabited by a lazy. He had neglected three shrubs ...",213,40,D000048,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch05_dlg0010,en,5,CHAPTER V,Yes. That is true.,18,4,D000049,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch05_dlg0011,en,5,CHAPTER V,"That's right ! But why do you want your sheep to eat the little baobabs? """,74,16,D000050,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch06_dlg0000,en,6,CHAPTER VI,I like the sunsets. Let's see a sunset ... - But you have to wait... - Wait for what ? - Wait until the sun goes down.,118,27,D000051,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch06_dlg0001,en,6,CHAPTER VI,I always feel at home !,23,6,D000052,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2
en_ch06_dlg0002,en,6,CHAPTER VI,One day I saw the sun go down forty-four times!,47,10,D000053,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2
en_ch06_dlg0003,en,6,CHAPTER VI,You know ... when you're so sad you like the sunsets ...,56,12,D000054,unknown,unknown,0.0,no_match,curiosity,0.75,-1.0,0.55,multilingual_lexicon_character_context_v2
en_ch06_dlg0004,en,6,CHAPTER VI,So the day of the forty-four times you were so sad?,51,11,D000055,unknown,unknown,0.0,no_match,curiosity,0.6667,-1.0,0.5167,multilingual_lexicon_character_context_v2
en_ch06_dlg0005,en,6,CHAPTER VI,But you have to wait...,23,5,D000056,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch06_dlg0006,en,6,CHAPTER VI,Wait for what ?,15,4,D000057,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch06_dlg0007,en,6,CHAPTER VI,Wait until the sun goes down.,29,6,D000058,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch07_dlg0000,en,7,CHAPTER VII,"A sheep, if he eats the shrubs, he also eats the flowers?",57,12,D000059,little_prince,little_prince,0.6,chapter_dominance,curiosity,0.6667,0.0,0.5167,multilingual_lexicon_character_context_v2
en_ch07_dlg0001,en,7,CHAPTER VII,A sheep eats whatever he meets.,31,6,D000060,little_prince,little_prince,0.6,chapter_dominance,love,0.3333,0.0,0.3833,multilingual_lexicon_character_context_v2
en_ch07_dlg0002,en,7,CHAPTER VII,Even flowers that have thorns?,30,5,D000061,little_prince,little_prince,0.6,chapter_dominance,curiosity,0.6667,0.0,0.5167,multilingual_lexicon_character_context_v2
en_ch07_dlg0003,en,7,CHAPTER VII,"Then the thorns, what are they for?",35,7,D000062,little_prince,little_prince,0.6,chapter_dominance,curiosity,0.75,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch07_dlg0004,en,7,CHAPTER VII,"I did not know. I was then very busy trying to unscrew a too tight bolt from my engine. I was very worried because my breakdown was beginning to appear very serious, and the drinking water that was exhausted made me fear the worst.",231,44,D000063,little_prince,little_prince,0.6,chapter_dominance,love,0.25,-1.0,0.7,multilingual_lexicon_character_context_v2
en_ch07_dlg0006,en,7,CHAPTER VII,"Thorns are useless, it's pure wickedness on the part of flowers! - Oh !",71,14,D000064,little_prince,little_prince,0.6,chapter_dominance,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch07_dlg0007,en,7,CHAPTER VII,I do not believe you ! Flowers are weak. They are naive. They reassure themselves as best they can. They think they are terrible with their thorns ...,150,28,D000065,little_prince,little_prince,0.6,chapter_dominance,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch07_dlg0008,en,7,CHAPTER VII,"If this bolt still resists, I'll blow it up with a hammer. The little prince again disturbed my reflections:",108,19,D000066,little_prince,little_prince,0.65,keyword_rules,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch07_dlg0009,en,7,CHAPTER VII,- But no ! But no ! I do not believe anything! I answered anything. I am busy with serious things!,98,21,D000067,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch07_dlg0011,en,7,CHAPTER VII,You talk like grown-ups!,24,4,D000068,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch07_dlg0012,en,7,CHAPTER VII,"It made me a little ashamed. But, pitiless, he added:",53,10,D000069,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch07_dlg0013,en,7,CHAPTER VII,He was really very irritated. He shook the gilded hair in the wind:,67,13,D000070,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch07_dlg0014,en,7,CHAPTER VII,I am a serious man! I am a serious man!,39,10,D000071,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch07_dlg0015,en,7,CHAPTER VII,The little prince was now pale with anger.,42,8,D000072,little_prince,little_prince,0.65,keyword_rules,love,0.3333,0.0,0.3833,multilingual_lexicon_character_context_v2
en_ch07_dlg0016,en,7,CHAPTER VII,"He blushed, then resumed:",25,4,D000073,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch07_dlg0017,en,7,CHAPTER VII,My flower is there somewhere ...,32,6,D000074,rose,rose,0.65,keyword_rules,love,0.4,0.0,0.51,multilingual_lexicon_character_context_v2
en_ch07_dlg0018,en,7,CHAPTER VII,"He could say nothing more. He suddenly burst into tears. Night had fallen. I had let go of my tools. I made fun of my hammer, my bolt, my thirst and my death. There was on a star, a planet, mine, the Earth, a little prince to console! I took him in my arms. I rocked him. I said to him:",286,61,D000075,little_prince,little_prince,0.65,keyword_rules,sadness,0.6,-1.0,0.69,multilingual_lexicon_character_context_v2
en_ch07_dlg0019,en,7,CHAPTER VII,Yes. Even flowers that have thorns.,35,6,D000076,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch07_dlg0020,en,7,CHAPTER VII,"Oh ! """,6,3,D000077,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch07_dlg0021,en,7,CHAPTER VII,"But no ! But no ! I do not believe anything! I answered anything. I am busy with serious things! """,98,21,D000078,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch07_dlg0022,en,7,CHAPTER VII,A what ?,8,3,D000079,little_prince,little_prince,0.55,previous_speaker_window,curiosity,0.75,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch07_dlg0023,en,7,CHAPTER VII,"A fungus ! """,12,4,D000080,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch08_dlg0000,en,8,CHAPTER VIII,Ah! I'm just waking up ... I beg your pardon ... I'm still disheveled ...,73,15,D000081,little_prince,little_prince,0.6,chapter_dominance,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch08_dlg0001,en,8,CHAPTER VIII,How beautiful you are !,23,5,D000082,little_prince,little_prince,0.6,chapter_dominance,curiosity,0.4,1.0,0.41,multilingual_lexicon_character_context_v2
en_ch08_dlg0002,en,8,CHAPTER VIII,the flower replied softly. And I was born at the same time as the sun ...,73,16,D000083,rose,rose,0.65,keyword_rules,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch08_dlg0003,en,8,CHAPTER VIII,"It's time, I think, for breakfast,",34,6,D000084,rose,rose,0.55,previous_speaker_window,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch08_dlg0004,en,8,CHAPTER VIII,would you have the kindness to think of me?,43,9,D000085,rose,rose,0.55,previous_speaker_window,love,0.3333,0.0,0.6833,multilingual_lexicon_character_context_v2
en_ch08_dlg0005,en,8,CHAPTER VIII,"They can come, the tigers, with their claws!",44,8,D000086,rose,rose,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch08_dlg0006,en,8,CHAPTER VIII,"objected the little prince, eat grass.",38,6,D000087,little_prince,little_prince,0.65,keyword_rules,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch08_dlg0007,en,8,CHAPTER VIII,and then the tigers do not,26,6,D000088,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch08_dlg0008,en,8,CHAPTER VIII,You would not have a screen?,28,6,D000089,little_prince,little_prince,0.55,previous_speaker_window,curiosity,0.6667,0.0,0.5167,multilingual_lexicon_character_context_v2
en_ch08_dlg0009,en,8,CHAPTER VIII,"Horror of drafts ... it is not luck, for a plant, had noticed the little prince. This flower is very complicated ...",116,22,D000090,little_prince,little_prince,0.65,keyword_rules,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch08_dlg0010,en,8,CHAPTER VIII,In the evening you will put me under a globe. It's very cold at home. It's badly installed. Where I come from...,112,22,D000091,little_prince,little_prince,0.7,sandwich_propagation,curiosity,0.5,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch08_dlg0012,en,8,CHAPTER VIII,"Then she had forced her cough to inflict remorse. Thus the little prince, notwithstanding the goodwill of his love, soon doubted her. He had taken unimportant words seriously, and had become very unhappy.",204,33,D000092,little_prince,little_prince,0.65,keyword_rules,love,0.6667,1.0,0.5167,multilingual_lexicon_character_context_v2
en_ch08_dlg0013,en,8,CHAPTER VIII,"he confided to me one day,",26,6,D000093,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch08_dlg0014,en,8,CHAPTER VIII,... He again confided to me:,28,6,D000094,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch08_dlg0015,en,8,CHAPTER VIII,"I am not a grass, had gently replied the flower.",48,10,D000095,rose,rose,0.65,keyword_rules,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch08_dlg0017,en,8,CHAPTER VIII,"I was going to get him but you were talking to me! """,52,13,D000096,rose,rose,0.55,previous_speaker_window,love,0.5,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch09_dlg0000,en,9,CHAPTER IX,You never know!,15,3,D000097,rose,rose,0.6,chapter_dominance,love,0.4,0.0,0.41,multilingual_lexicon_character_context_v2
en_ch09_dlg0003,en,9,CHAPTER IX,"I was a fool,",13,4,D000098,rose,rose,0.6,chapter_dominance,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2
en_ch09_dlg0004,en,9,CHAPTER IX,"He was surprised by the absence of reproaches. He remained there, disconcerted, the globe in the air. He did not understand this quiet sweetness.",145,24,D000099,rose,rose,0.6,chapter_dominance,love,0.4,0.0,0.41,multilingual_lexicon_character_context_v2
en_ch09_dlg0005,en,9,CHAPTER IX,"said the flower. You did not know, by my fault. It has no importance. But you were as stupid as I was. Task to be happy ... Leave this globe quiet. I do not want it anymore. - But the wind ... - I'm not so cold as that ... The cool air of the night will do me good. I'm a flower. - But the beasts ...",300,68,D000100,rose,rose,0.65,keyword_rules,love,0.3333,1.0,0.7333,multilingual_lexicon_character_context_v2
en_ch09_dlg0006,en,9,CHAPTER IX,"It seems that it is so beautiful. Otherwise who will visit me? You will be far away. As for the big beasts, I fear nothing. I have my claws.",140,29,D000101,rose,rose,0.55,previous_speaker_window,love,0.25,0.0,0.7,multilingual_lexicon_character_context_v2
en_ch09_dlg0007,en,9,CHAPTER IX,"Do not drag like that, it's annoying. You decided to leave. Go away.",68,13,D000102,rose,rose,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch09_dlg0008,en,9,CHAPTER IX,But the wind ...,16,4,D000103,rose,rose,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch09_dlg0009,en,9,CHAPTER IX,I'm not so cold as that ... The cool air of the night will do me good. I'm a flower.,84,20,D000104,rose,rose,0.65,keyword_rules,love,0.5,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch09_dlg0010,en,9,CHAPTER IX,But the beasts ...,18,4,D000105,rose,rose,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch10_dlg0000,en,10,CHAPTER X,"Ah! Here is a subject! Cried the king, when he perceived the little prince. And the little prince asked himself:",112,20,D000106,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch10_dlg0002,en,10,CHAPTER X,"Come closer, I'll see you better,",33,6,D000107,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2
en_ch10_dlg0003,en,10,CHAPTER X,"It is contrary to the etiquette of yawning in the presence of a king,",69,14,D000108,king,king,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch10_dlg0004,en,10,CHAPTER X,"I cannot help myself,",21,4,D000109,king,king,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2
en_ch10_dlg0006,en,10,CHAPTER X,I command you to yawn.,22,5,D000110,king,king,0.55,previous_speaker_window,anger,1.0,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch10_dlg0007,en,10,CHAPTER X,That intimidates me ... I cannot ...,36,7,D000111,king,king,0.55,previous_speaker_window,neutral,0.0,0.0,0.3,multilingual_lexicon_character_context_v2
en_ch10_dlg0008,en,10,CHAPTER X,"For the King was essentially concerned that his authority should be respected. He did not tolerate disobedience. He was an absolute monarch. But as he was very good, he gave reasonable orders.",192,32,D000112,king,king,0.65,keyword_rules,anger,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch10_dlg0010,en,10,CHAPTER X,It would be my fault.,21,5,D000113,king,king,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2
en_ch10_dlg0011,en,10,CHAPTER X,"May I sit ? Inquired the little prince, timidly.",48,9,D000114,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2
en_ch10_dlg0012,en,10,CHAPTER X,"replied the king, who brought back majestically a piece of his ermine cloak. But the little prince was astonished. The planet was tiny. On what could the king reign?",165,29,D000115,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch10_dlg0015,en,10,CHAPTER X,said the King.,14,3,D000116,king,king,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch10_dlg0017,en,10,CHAPTER X,"replied the king, with great simplicity. - Mostly ?",51,9,D000117,king,king,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch10_dlg0018,en,10,CHAPTER X,About all that?,15,3,D000118,king,king,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2
en_ch10_dlg0019,en,10,CHAPTER X,"On all that,",12,3,D000119,king,king,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2
en_ch10_dlg0020,en,10,CHAPTER X,And the stars obey you?,23,5,D000120,king,king,0.65,keyword_rules,anger,0.5,0.0,0.45,multilingual_lexicon_character_context_v2
en_ch10_dlg0022,en,10,CHAPTER X,"Such a power marveled the little prince. If he had relaxed it himself, he might have been present, not at forty-four, but at seventy-two, or even a hundred, or even two hundred sunsets in the same day, To pull his chair! And as he felt a little sad because of the memory of his little abandoned planet, he boldly solicited a favor from the king:",345,65,D000121,little_prince,little_prince,0.65,keyword_rules,sadness,1.0,-1.0,0.65,multilingual_lexicon_character_context_v2
en_ch10_dlg0023,en,10,CHAPTER X,"If I ordered a general to fly from one flower to another like a butterfly, or write a tragedy, or change into a sea-bird, and if the general did not execute The order received, which of him or of me would be in his wrong?",221,45,D000122,rose,rose,0.65,keyword_rules,curiosity,0.4,0.0,0.71,multilingual_lexicon_character_context_v2
