record_id,language,chapter_id,chapter_title,dialogue,length_chars,length_words,dialogue_id,character,speaker,speaker_confidence,attribution_method,emotion,emotion_score,polarity,subjectivity,affect_method,embedding_index,parallel_group,alignment_score,aligned_to_record_id,alignment_method,semantic_cluster,cluster_probability,cluster_method
en_ch03_dlg0003,en,3,CHAPTER III,Then you too come from heaven!,30,6,D000018,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,18,align_18_478,0.7142,es_ch03_dlg0005,cosine_multilingual_embeddings_v1,3,0.1942,kmeans_multilingual_embeddings_v1
en_ch03_dlg0004,en,3,CHAPTER III,So you're from another planet?,30,5,D000019,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,19,align_19_947,0.9639,fr_ch03_dlg0008,cosine_multilingual_embeddings_v1,5,0.3847,kmeans_multilingual_embeddings_v1
en_ch03_dlg0005,en,3,CHAPTER III,It's true that you cannot come very far from it.,48,10,D000020,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,20,align_20_948,0.8754,fr_ch03_dlg0009,cosine_multilingual_embeddings_v1,11,0.199,kmeans_multilingual_embeddings_v1
en_ch03_dlg0006,en,3,CHAPTER III,the other planets.,18,3,D000021,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,21,align_21_940,0.9757,fr_ch03_dlg0000,cosine_multilingual_embeddings_v1,5,0.3161,kmeans_multilingual_embeddings_v1
en_ch03_dlg0007,en,3,CHAPTER III,"Where do you come from, my little fellow?",41,8,D000022,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,22,align_22_481,0.7952,es_ch03_dlg0008,cosine_multilingual_embeddings_v1,3,0.2076,kmeans_multilingual_embeddings_v1
en_ch03_dlg0009,en,3,CHAPTER III,"What is good, with the box you gave me, is that, at night, it will serve him as a house.",88,20,D000023,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.85,multilingual_lexicon_character_context_v2,23,align_23_950,0.9336,fr_ch03_dlg0011,cosine_multilingual_embeddings_v1,3,0.2052,kmeans_multilingual_embeddings_v1
en_ch03_dlg0010,en,3,CHAPTER III,The proposal seemed to shock the little prince:,47,8,D000024,little_prince,little_prince,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,24,align_24_484,0.4506,es_ch03_dlg0011,cosine_multilingual_embeddings_v1,2,0.3058,kmeans_multilingual_embeddings_v1
en_ch03_dlg0011,en,3,CHAPTER III,What a funny idea !,19,5,D000025,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,25,align_25_952,0.9012,fr_ch03_dlg0013,cosine_multilingual_embeddings_v1,0,0.1925,kmeans_multilingual_embeddings_v1
en_ch03_dlg0012,en,3,CHAPTER III,It's not a thing. It flies. It's a plane. This is my plane.,59,13,D000026,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,26,align_26_474,0.9644,es_ch03_dlg0001,cosine_multilingual_embeddings_v1,11,0.2285,kmeans_multilingual_embeddings_v1
en_ch03_dlg0013,en,3,CHAPTER III,"Yes, I said modestly.",21,4,D000027,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,27,align_27_476,0.9696,es_ch03_dlg0003,cosine_multilingual_embeddings_v1,1,0.1976,kmeans_multilingual_embeddings_v1
en_ch03_dlg0014,en,3,CHAPTER III,"Of course. And if you are kind, I will also give you a rope to tie it up during the day. And a picket.",102,24,D000028,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,28,align_28_951,0.8292,fr_ch03_dlg0012,cosine_multilingual_embeddings_v1,3,0.2287,kmeans_multilingual_embeddings_v1
en_ch03_dlg0015,en,3,CHAPTER III,But where do you want him to go !,33,9,D000029,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,29,align_29_954,0.9206,fr_ch03_dlg0015,cosine_multilingual_embeddings_v1,11,0.1455,kmeans_multilingual_embeddings_v1
en_ch03_dlg0016,en,3,CHAPTER III,Anywhere. Right in front of him...,34,6,D000030,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,30,align_30_955,0.8898,fr_ch03_dlg0016,cosine_multilingual_embeddings_v1,3,0.1754,kmeans_multilingual_embeddings_v1
en_ch03_dlg0017,en,3,CHAPTER III,Straight ahead you cannot go far ...,36,7,D000031,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,31,align_31_957,0.8711,fr_ch03_dlg0018,cosine_multilingual_embeddings_v1,11,0.2441,kmeans_multilingual_embeddings_v1
en_ch04_dlg0000,en,4,CHAPTER IV,the asteroid 325,16,3,D000032,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,32,align_32_497,0.7192,es_ch04_dlg0008,cosine_multilingual_embeddings_v1,5,0.1385,kmeans_multilingual_embeddings_v1
en_ch04_dlg0001,en,4,CHAPTER IV,What is the sound of his voice?,31,7,D000033,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,33,align_33_958,0.6287,fr_ch04_dlg0001,cosine_multilingual_embeddings_v1,1,0.1372,kmeans_multilingual_embeddings_v1
en_ch04_dlg0002,en,4,CHAPTER IV,How old is he?,14,4,D000034,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,34,align_34_959,0.7765,fr_ch04_dlg0002,cosine_multilingual_embeddings_v1,1,0.0543,kmeans_multilingual_embeddings_v1
en_ch04_dlg0003,en,4,CHAPTER IV,"I saw a beautiful pink brick house, with geraniums on the windows and doves on the roof ...",91,18,D000035,unknown,unknown,0.0,no_match,joy,1.0,1.0,0.75,multilingual_lexicon_character_context_v2,35,align_35_960,0.9387,fr_ch04_dlg0003,cosine_multilingual_embeddings_v1,7,0.1609,kmeans_multilingual_embeddings_v1
en_ch04_dlg0004,en,4,CHAPTER IV,I have seen a house of one hundred thousand francs. Then they cried:,68,13,D000036,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,36,align_36_961,0.7596,fr_ch04_dlg0004,cosine_multilingual_embeddings_v1,10,0.1215,kmeans_multilingual_embeddings_v1
en_ch04_dlg0005,en,4,CHAPTER IV,So if you say to them:,22,6,D000037,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,37,align_37_490,0.2953,es_ch04_dlg0001,cosine_multilingual_embeddings_v1,1,0.2198,kmeans_multilingual_embeddings_v1
en_ch04_dlg0006,en,4,CHAPTER IV,"they will shrug their shoulders and treat you as a child! But if you tell them,",79,16,D000038,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,38,align_38_963,0.2652,fr_ch04_dlg0006,cosine_multilingual_embeddings_v1,0,0.1178,kmeans_multilingual_embeddings_v1
en_ch04_dlg0007,en,4,CHAPTER IV,"then they will be convinced, and they will leave you alone with their questions. They're like that. We must not blame them. Children should be very lenient towards adults. But, of course, we who understand life, we make fun of the numbers! I would have liked to start this story like fairy tales. I would have liked to say:",323,59,D000039,unknown,unknown,0.0,no_match,sadness,0.5,-1.0,0.55,multilingual_lexicon_character_context_v2,39,align_39_963,0.3394,fr_ch04_dlg0006,cosine_multilingual_embeddings_v1,0,0.0981,kmeans_multilingual_embeddings_v1
en_ch05_dlg0000,en,5,CHAPTER V,"It is true, is it not, that sheep eat the shrubs?",49,11,D000040,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,40,align_40_503,0.9108,es_ch05_dlg0005,cosine_multilingual_embeddings_v1,0,0.2333,kmeans_multilingual_embeddings_v1
en_ch05_dlg0001,en,5,CHAPTER V,Ah! I am happy !,16,5,D000041,little_prince,little_prince,0.6,chapter_dominance,joy,1.0,1.0,0.75,multilingual_lexicon_character_context_v2,41,align_41_972,0.896,fr_ch05_dlg0006,cosine_multilingual_embeddings_v1,3,0.2745,kmeans_multilingual_embeddings_v1
en_ch05_dlg0002,en,5,CHAPTER V,So they also eat the baobabs?,29,6,D000042,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,42,align_42_973,0.9727,fr_ch05_dlg0007,cosine_multilingual_embeddings_v1,0,0.1749,kmeans_multilingual_embeddings_v1
en_ch05_dlg0003,en,5,CHAPTER V,"I remarked to the little prince that the baobab trees are not shrubs, but trees as large as churches, and that even if they carried with them a whole herd of elephants, this flock would not be able to overcome a single baobab . The idea of the herd of elephants made the little prince laugh:",291,56,D000043,little_prince,little_prince,0.65,keyword_rules,joy,1.0,1.0,0.75,multilingual_lexicon_character_context_v2,43,align_43_969,0.5464,fr_ch05_dlg0003,cosine_multilingual_embeddings_v1,2,0.2241,kmeans_multilingual_embeddings_v1
en_ch05_dlg0004,en,5,CHAPTER V,But he remarked wisely:,23,4,D000044,little_prince,little_prince,0.7,sandwich_propagation,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,44,align_44_968,0.3748,fr_ch05_dlg0002,cosine_multilingual_embeddings_v1,1,0.3073,kmeans_multilingual_embeddings_v1
en_ch05_dlg0006,en,5,CHAPTER V,"As it was obvious. And it took me a great effort of intelligence to understand to myself this problem. And indeed, on the planet of the little prince, there was, as on all the planets, good grasses and weeds. Therefore good seeds of good weeds and bad seeds of weeds. But the seeds are invisible. They sleep in the secret of the earth until it takes fancy for one of them to wake up. Then she stretched herself, and at first shoved timidly toward the sun a ravishing little harmless little twig. If it is a twig of radish or rose bush, you can let it grow as it wants. But if it is a bad plant, it is necessary to tear the plant immediately, as soon as it is known to recognize it. Now there were terrible seeds on the planet of the little prince ... these were the seeds of baobabs. The soil of the planet was infested. Now a baobab, if one takes it too late, one can never get rid of it any more. It encumbers the whole planet. He perforing her with his roots. And if the planet is too small, and if the baobabs are too numerous, they make it burst.",1051,207,D000045,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.85,multilingual_lexicon_character_context_v2,45,align_45_967,0.4613,fr_ch05_dlg0001,cosine_multilingual_embeddings_v1,7,0.2873,kmeans_multilingual_embeddings_v1
en_ch05_dlg0007,en,5,CHAPTER V,"the little prince later told me. When you have finished your morning toilet, you have to do the toilet of the planet carefully. It is necessary to regularly bite the baobabs as soon as they are distinguished from the roses to which they resemble very much when they are very young. It's a very boring job, but very easy.",320,59,D000046,little_prince,little_prince,0.65,keyword_rules,curiosity,0.6667,0.0,0.7167,multilingual_lexicon_character_context_v2,46,align_46_967,0.8935,fr_ch05_dlg0001,cosine_multilingual_embeddings_v1,0,0.1816,kmeans_multilingual_embeddings_v1
en_ch05_dlg0008,en,5,CHAPTER V,"If they travel one day,",23,5,D000047,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,47,align_47_501,0.5421,es_ch05_dlg0003,cosine_multilingual_embeddings_v1,8,0.1527,kmeans_multilingual_embeddings_v1
en_ch05_dlg0009,en,5,CHAPTER V,"that could serve them. It is sometimes inconvenient to postpone his work. But if it is a question of the baobabs, it is always a catastrophe. I knew a planet, inhabited by a lazy. He had neglected three shrubs ...",213,40,D000048,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,48,align_48_968,0.8123,fr_ch05_dlg0002,cosine_multilingual_embeddings_v1,5,0.1817,kmeans_multilingual_embeddings_v1
en_ch05_dlg0010,en,5,CHAPTER V,Yes. That is true.,18,4,D000049,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,49,align_49_971,0.9306,fr_ch05_dlg0005,cosine_multilingual_embeddings_v1,3,0.1201,kmeans_multilingual_embeddings_v1
en_ch05_dlg0011,en,5,CHAPTER V,"That's right ! But why do you want your sheep to eat the little baobabs? """,74,16,D000050,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,50,align_50_976,0.9646,fr_ch05_dlg0010,cosine_multilingual_embeddings_v1,0,0.3387,kmeans_multilingual_embeddings_v1
en_ch06_dlg0000,en,6,CHAPTER VI,I like the sunsets. Let's see a sunset ... - But you have to wait... - Wait for what ? - Wait until the sun goes down.,118,27,D000051,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,51,align_51_977,0.7649,fr_ch06_dlg0000,cosine_multilingual_embeddings_v1,8,0.3104,kmeans_multilingual_embeddings_v1
en_ch06_dlg0001,en,6,CHAPTER VI,I always feel at home !,23,6,D000052,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2,52,align_52_981,0.8334,fr_ch06_dlg0004,cosine_multilingual_embeddings_v1,3,0.0966,kmeans_multilingual_embeddings_v1
en_ch06_dlg0002,en,6,CHAPTER VI,One day I saw the sun go down forty-four times!,47,10,D000053,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,53,align_53_514,0.8768,es_ch06_dlg0005,cosine_multilingual_embeddings_v1,8,0.2689,kmeans_multilingual_embeddings_v1
en_ch06_dlg0003,en,6,CHAPTER VI,You know ... when you're so sad you like the sunsets ...,56,12,D000054,unknown,unknown,0.0,no_match,curiosity,0.75,-1.0,0.55,multilingual_lexicon_character_context_v2,54,align_54_983,0.923,fr_ch06_dlg0006,cosine_multilingual_embeddings_v1,8,0.2731,kmeans_multilingual_embeddings_v1
en_ch06_dlg0004,en,6,CHAPTER VI,So the day of the forty-four times you were so sad?,51,11,D000055,unknown,unknown,0.0,no_match,curiosity,0.6667,-1.0,0.5167,multilingual_lexicon_character_context_v2,55,align_55_984,0.97,fr_ch06_dlg0007,cosine_multilingual_embeddings_v1,8,0.2037,kmeans_multilingual_embeddings_v1
en_ch06_dlg0005,en,6,CHAPTER VI,But you have to wait...,23,5,D000056,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,56,align_56_978,0.9347,fr_ch06_dlg0001,cosine_multilingual_embeddings_v1,8,0.2699,kmeans_multilingual_embeddings_v1
en_ch06_dlg0006,en,6,CHAPTER VI,Wait for what ?,15,4,D000057,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,57,align_57_979,0.9751,fr_ch06_dlg0002,cosine_multilingual_embeddings_v1,8,0.158,kmeans_multilingual_embeddings_v1
en_ch06_dlg0007,en,6,CHAPTER VI,Wait until the sun goes down.,29,6,D000058,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,58,align_58_980,0.9054,fr_ch06_dlg0003,cosine_multilingual_embeddings_v1,8,0.3034,kmeans_multilingual_embeddings_v1
en_ch07_dlg0000,en,7,CHAPTER VII,"A sheep, if he eats the shrubs, he also eats the flowers?",57,12,D000059,little_prince,little_prince,0.6,chapter_dominance,curiosity,0.6667,0.0,0.5167,multilingual_lexicon_character_context_v2,59,align_59_989,0.9363,fr_ch07_dlg0004,cosine_multilingual_embeddings_v1,0,0.2178,kmeans_multilingual_embeddings_v1
en_ch07_dlg0001,en,7,CHAPTER VII,A sheep eats whatever he meets.,31,6,D000060,little_prince,little_prince,0.6,chapter_dominance,love,0.3333,0.0,0.3833,multilingual_lexicon_character_context_v2,60,align_60_990,0.9458,fr_ch07_dlg0005,cosine_multilingual_embeddings_v1,0,0.1369,kmeans_multilingual_embeddings_v1
en_ch07_dlg0002,en,7,CHAPTER VII,Even flowers that have thorns?,30,5,D000061,little_prince,little_prince,0.6,chapter_dominance,curiosity,0.6667,0.0,0.5167,multilingual_lexicon_character_context_v2,61,align_61_991,0.8992,fr_ch07_dlg0006,cosine_multilingual_embeddings_v1,7,0.3441,kmeans_multilingual_embeddings_v1
en_ch07_dlg0003,en,7,CHAPTER VII,"Then the thorns, what are they for?",35,7,D000062,little_prince,little_prince,0.6,chapter_dominance,curiosity,0.75,0.0,0.55,multilingual_lexicon_character_context_v2,62,align_62_994,0.676,fr_ch07_dlg0009,cosine_multilingual_embeddings_v1,7,0.2361,kmeans_multilingual_embeddings_v1
en_ch07_dlg0004,en,7,CHAPTER VII,"I did not know. I was then very busy trying to unscrew a too tight bolt from my engine. I was very worried because my breakdown was beginning to appear very serious, and the drinking water that was exhausted made me fear the worst.",231,44,D000063,little_prince,little_prince,0.6,chapter_dominance,love,0.25,-1.0,0.7,multilingual_lexicon_character_context_v2,63,align_63_517,0.2765,es_ch07_dlg0000,cosine_multilingual_embeddings_v1,10,0.1421,kmeans_multilingual_embeddings_v1
en_ch07_dlg0006,en,7,CHAPTER VII,"Thorns are useless, it's pure wickedness on the part of flowers! - Oh !",71,14,D000064,little_prince,little_prince,0.6,chapter_dominance,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2,64,align_64_995,0.8566,fr_ch07_dlg0010,cosine_multilingual_embeddings_v1,7,0.3772,kmeans_multilingual_embeddings_v1
en_ch07_dlg0007,en,7,CHAPTER VII,I do not believe you ! Flowers are weak. They are naive. They reassure themselves as best they can. They think they are terrible with their thorns ...,150,28,D000065,little_prince,little_prince,0.6,chapter_dominance,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2,65,align_65_996,0.9342,fr_ch07_dlg0012,cosine_multilingual_embeddings_v1,7,0.3244,kmeans_multilingual_embeddings_v1
en_ch07_dlg0008,en,7,CHAPTER VII,"If this bolt still resists, I'll blow it up with a hammer. The little prince again disturbed my reflections:",108,19,D000066,little_prince,little_prince,0.65,keyword_rules,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2,66,align_66_985,0.7141,fr_ch07_dlg0000,cosine_multilingual_embeddings_v1,2,0.34,kmeans_multilingual_embeddings_v1
en_ch07_dlg0009,en,7,CHAPTER VII,- But no ! But no ! I do not believe anything! I answered anything. I am busy with serious things!,98,21,D000067,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2,67,align_67_998,0.8307,fr_ch07_dlg0014,cosine_multilingual_embeddings_v1,11,0.2006,kmeans_multilingual_embeddings_v1
en_ch07_dlg0011,en,7,CHAPTER VII,You talk like grown-ups!,24,4,D000068,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2,68,align_68_1000,0.6805,fr_ch07_dlg0016,cosine_multilingual_embeddings_v1,3,0.1729,kmeans_multilingual_embeddings_v1
en_ch07_dlg0012,en,7,CHAPTER VII,"It made me a little ashamed. But, pitiless, he added:",53,10,D000069,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.65,multilingual_lexicon_character_context_v2,69,align_69_998,0.4215,fr_ch07_dlg0014,cosine_multilingual_embeddings_v1,10,0.3897,kmeans_multilingual_embeddings_v1
en_ch07_dlg0013,en,7,CHAPTER VII,He was really very irritated. He shook the gilded hair in the wind:,67,13,D000070,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2,70,align_70_537,0.2816,es_ch07_dlg0023,cosine_multilingual_embeddings_v1,10,0.2017,kmeans_multilingual_embeddings_v1
en_ch07_dlg0014,en,7,CHAPTER VII,I am a serious man! I am a serious man!,39,10,D000071,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2,71,align_71_518,0.9706,es_ch07_dlg0001,cosine_multilingual_embeddings_v1,3,0.2408,kmeans_multilingual_embeddings_v1
en_ch07_dlg0015,en,7,CHAPTER VII,The little prince was now pale with anger.,42,8,D000072,little_prince,little_prince,0.65,keyword_rules,love,0.3333,0.0,0.3833,multilingual_lexicon_character_context_v2,72,align_72_537,0.3088,es_ch07_dlg0023,cosine_multilingual_embeddings_v1,2,0.2563,kmeans_multilingual_embeddings_v1
en_ch07_dlg0016,en,7,CHAPTER VII,"He blushed, then resumed:",25,4,D000073,little_prince,little_prince,0.55,previous_speaker_window,love,0.5,0.0,0.45,multilingual_lexicon_character_context_v2,73,align_73_537,0.2432,es_ch07_dlg0023,cosine_multilingual_embeddings_v1,10,0.2267,kmeans_multilingual_embeddings_v1
en_ch07_dlg0017,en,7,CHAPTER VII,My flower is there somewhere ...,32,6,D000074,rose,rose,0.65,keyword_rules,love,0.4,0.0,0.51,multilingual_lexicon_character_context_v2,74,align_74_519,0.9763,es_ch07_dlg0002,cosine_multilingual_embeddings_v1,7,0.3505,kmeans_multilingual_embeddings_v1
